날짜,지역,제품카테고리,매출액,수량,고객수
2024-01-01,서울,전자제품,1250000,45,12
2024-01-01,부산,의류,850000,120,35
2024-01-01,대구,식품,650000,200,50
2024-01-01,인천,전자제품,920000,32,15
2024-01-01,광주,의류,720000,95,28
2024-01-02,서울,식품,780000,180,45
2024-01-02,부산,전자제품,1100000,38,18
2024-01-02,대구,의류,690000,85,25
2024-01-02,인천,식품,560000,150,38
2024-01-02,광주,전자제품,1050000,35,20
2024-01-03,서울,의류,940000,110,32
2024-01-03,부산,식품,820000,195,48
2024-01-03,대구,전자제품,1320000,48,22
2024-01-03,인천,의류,750000,88,26
2024-01-03,광주,식품,680000,165,42
2024-01-04,서울,전자제품,1480000,52,25
2024-01-04,부산,의류,1020000,135,40
2024-01-04,대구,식품,720000,210,55
2024-01-04,인천,전자제품,1150000,42,19
2024-01-04,광주,의류,880000,105,30
2024-01-05,서울,식품,850000,190,48
2024-01-05,부산,전자제품,1280000,45,21
2024-01-05,대구,의류,960000,118,35
2024-01-05,인천,식품,620000,160,40
2024-01-05,광주,전자제품,1200000,43,24
2024-01-06,서울,의류,1080000,125,38
2024-01-06,부산,식품,780000,185,46
2024-01-06,대구,전자제품,1420000,51,28
2024-01-06,인천,의류,820000,95,29
2024-01-06,광주,식품,740000,175,44
2024-01-07,서울,전자제품,1350000,47,23
2024-01-07,부산,의류,950000,112,33
2024-01-07,대구,식품,680000,195,52
2024-01-07,인천,전자제품,1080000,38,17
2024-01-07,광주,의류,790000,92,27
